sigma1,sigma2,epsilon,RMSE_total,RMSE_x,RMSE_y
0.1,0.1,0.5,0.10077461628989481,0.05790790180182327,0.13022181647351358
0.1,0.1,0.5,0.10256896178263374,0.049168158773514534,0.13646712426499366
0.1,0.1,0.5,0.10138191626325324,0.05438033980587847,0.1326625965862864
0.1,0.1,0.5,0.1059262169944501,0.044211135296503445,0.14312966991265275
0.1,0.1,0.5,0.10528110052619513,0.04394134817354619,0.14225813922832253
0.25,0.25,0.5,0.11002264524370742,0.08561051978128965,0.12992614762095736
0.25,0.25,0.5,0.11006635501616108,0.07415141922136458,0.13686041078611688
0.25,0.25,0.5,0.11003515967473752,0.0878850750655568,0.12841996071488035
0.25,0.25,0.5,0.11002356841547817,0.08588181101102155,0.12974854816612783
0.25,0.25,0.5,0.11008339504862635,0.07234035124659077,0.13785347769419437
0.5,0.5,0.5,0.14163475476714116,0.13382467532256143,0.14903611572604625
0.5,0.5,0.5,0.14171449313773793,0.13450056661025717,0.14857857420264778
0.5,0.5,0.5,0.141501745569811,0.13281600805022076,0.1496843211702907
0.5,0.5,0.5,0.14161922275423242,0.13371461309560467,0.14910536795071647
0.5,0.5,0.5,0.14165108705202623,0.13395640009876816,0.14894879589516716
1,1,0.5,0.2230807809917321,0.2013103163938797,0.24290785538791937
1,1,0.5,0.22308161964518428,0.20142857783773246,0.2428113384446984
1,1,0.5,0.2230816064631384,0.20140988282961989,0.2428268217946854
1,1,0.5,0.22308126508195034,0.2013729587710024,0.24285681612204948
1,1,0.5,0.2230773630893479,0.20107000487690083,0.2431005408973756
1,1,0.5,0.2230816600565589,0.20144119620412507,0.24280094435366473
1,1,0.5,0.22308063694613664,0.20129723568378455,0.24291843089122522
2,2,0.5,0.4014034581695942,0.320620342922136,0.46845711454252703
2,2,0.5,0.40148708421449036,0.32021634808853255,0.468876580774675
2,2,0.5,0.4017897571937041,0.3194054353055166,0.4699470032555211
2,2,0.5,0.4016258110240066,0.3197752733072576,0.46941491107830274
2,2,0.5,0.4014066270860643,0.32060093360266656,0.46847582852300923
4,4,0.5,0.7809690280196989,0.5929012938410728,0.9318225695987667
4,4,0.5,0.780767945992063,0.5925432948288815,0.9317132685170171
4,4,0.5,0.7806793489504762,0.5923870745366202,0.9316641270744643
4,4,0.5,0.7809630438431979,0.5928905722822102,0.931819360711366
4,4,0.5,0.7806871371576348,0.592400769306597,0.9316684714917207
4,4,0.5,0.7810084125948853,0.5929719591870874,0.9318436224527117
0.1,0.1,0.1,0.09414582162097179,0.05726590634859159,0.12019770142332178
0.1,0.1,0.1,0.09169724320610674,0.05979460521058794,0.11507116932972268
0.1,0.1,0.1,0.09191645151836461,0.05955392455587,0.11554478867283235
0.1,0.1,0.1,0.09430769308070108,0.05713592521322689,0.1205129370583755
0.1,0.1,0.1,0.09516367078963145,0.05656666329421179,0.12211658806269517
0.1,0.1,0.1,0.09570961023207558,0.056313611713364964,0.12308304561290324
0.25,0.25,0.1,0.11925827014953165,0.06386049986850609,0.15609902803881223
0.25,0.25,0.1,0.11939489614007288,0.0639849837751253,0.15625685360935226
0.25,0.25,0.1,0.11920141971533002,0.06378220755408068,0.15604418260168723
0.25,0.25,0.1,0.11932156186887463,0.06392619203418785,0.15616885805327352
0.25,0.25,0.1,0.11921202390398346,0.06379875338585374,0.15605362012135077
0.5,0.5,0.1,0.20369761597476235,0.07982983493009597,0.276789875108605
0.5,0.5,0.1,0.2036976108720966,0.07982983310126802,0.27678986812566647
0.5,0.5,0.1,0.20369745949536,0.07982978688984144,0.2767896586486753
0.5,0.5,0.1,0.20369759324896358,0.07982982792341436,0.27678984368028836
0.5,0.5,0.1,0.20369743350339706,0.07982977903589898,0.27678962265739165
1,1,0.1,0.38715781643660674,0.14634435713614344,0.5276037137760987
1,1,0.1,0.3871580745318829,0.14634468048252686,0.5276040028704645
1,1,0.1,0.3871576990375914,0.14634421006259068,0.5276035822749128
1,1,0.1,0.3871580852439995,0.14634469390422356,0.5276040148688019
1,1,0.1,0.3871568675101639,0.14634316855699284,0.5276026508057601
2,2,0.1,0.7626253096209457,0.29093831784206836,1.0385324361617765
2,2,0.1,0.7626138571397706,0.2908970928157888,1.0385271645915282
2,2,0.1,0.7626140685335766,0.29089785335229984,1.038527262023339
2,2,0.1,0.7626415910433346,0.2909969932873101,1.038539909043443
2,2,0.1,0.7626138438816713,0.2908970450664941,1.038527158494923
4,4,0.1,1.5165712512591853,0.5765834230660122,2.0657996699915464
4,4,0.1,1.5165943070190309,0.57667051929362,2.0658092110218447
4,4,0.1,1.5165634949489148,0.5765539104526682,2.065796518722275
4,4,0.1,1.5165728658367552,0.576589553319557,2.0658003296028804
4,4,0.1,1.5165892505015721,0.5766514995436202,2.065807095918671
